control_name,norm_name,match_type,matched_razon,matched_ruc,raw_matches
MAVERICK,MAVERICK,partial,MAVERICK CHAMPI ROMERO,,"[('MAVERICK CHAMPI ROMERO', '-')]"
MECHANICAL AND PIPING SOLUTIONS SACYP,MECHANICAL AND PIPING SOLUTIONS SACYP,partial,MECHANICAL AND PIPING SOLUTIONS SAC,20601323525,"[('MECHANICAL AND PIPING SOLUTIONS SAC', '20601323525'), ('MECHANICAL AND PIPING SOLUTIONS SAC', '20601323525')]"
MECHANICAL AND PIPING SOLUTIONS SACYP - JONATAN,MECHANICAL AND PIPING SOLUTIONS SACYP JONATAN,partial,MECHANICAL AND PIPING SOLUTIONS SAC,20601323525,"[('MECHANICAL AND PIPING SOLUTIONS SAC', '20601323525'), ('MECHANICAL AND PIPING SOLUTIONS SAC', '20601323525')]"
MECHANICAL AND PIPING SOLUTIONS SACYP - ZINIA,MECHANICAL AND PIPING SOLUTIONS SACYP ZINIA,partial,MECHANICAL AND PIPING SOLUTIONS SAC,20601323525,"[('MECHANICAL AND PIPING SOLUTIONS SAC', '20601323525'), ('MECHANICAL AND PIPING SOLUTIONS SAC', '20601323525')]"
MERIDIANA,MERIDIANA,partial,MERIDIANA SAC,20611890193,"[('MERIDIANA SAC', '20611890193'), ('MERIDIANA SAC', '20611890193')]"
MINERA PECHE,MINERA PECHE,none,,,[]
MINERA TITAN DEL PERU SRL,MINERA TITAN DEL PERU SRL,exact,MINERA TITAN DEL PERU SRL,20460352674,"[('MINERA TITAN DEL PERU SRL', '20460352674')]"
MISIàN CRISTIANA PAZ Y AMOR,MISION CRISTIANA PAZ Y AMOR,exact,MISION CRISTIANA PAZ Y AMOR,20472475437,"[('MISION CRISTIANA PAZ Y AMOR', '20472475437')]"
MONTAJES E INGENIERIA ARCE PERU S.A.C.,MONTAJES E INGENIERIA ARCE PERU SAC,exact,MONTAJES E INGENIERIA ARCE PERU S.A.C.,20550259321,"[('MONTAJES E INGENIERIA ARCE PERU S.A.C.', '20550259321')]"
MOTA ENGIL,MOTA ENGIL,none,,,[]
MULTIFIBRAS,MULTIFIBRAS,partial,MULTIFIBRAS DEL PERU SAC,20600974905,"[('MULTIFIBRAS DEL PERU SAC', '20600974905'), ('Multifibras del Per£ SAC', '20600974905'), ('Multifibras del Per£ SAC', '20600974905'), ('Multifibras del Per£ SAC', '20600974905')]"
MULTIFIBRAS DEL PERU SAC,MULTIFIBRAS DEL PERU SAC,exact,MULTIFIBRAS DEL PERU SAC,20600974905,"[('MULTIFIBRAS DEL PERU SAC', '20600974905')]"
N. NU¥EZ CORPORATION,N NUNEZ CORPORATION,partial,N. NU¥EZ CORPORATION SAC,20608003631,"[('N. NU¥EZ CORPORATION SAC', '20608003631'), ('N. NU¥EZ CORPORATION S.A.C.', '20608003631')]"
N. NU¥EZ CORPORATION EN CAMINO,N NUNEZ CORPORATION EN CAMINO,none,,,[]
NS ANDINA,NS ANDINA,partial,NS ANDINA SAC,20613516124,"[('NS ANDINA SAC', '20613516124')]"
OCJ MOLTALVOS SAC,OCJ MOLTALVOS SAC,none,,,[]
ORBE ARQUITECTOS SAC,ORBE ARQUITECTOS SAC,exact,ORBE ARQUITECTOS S.A.C.,20610421009,"[('ORBE ARQUITECTOS S.A.C.', '20610421009')]"
OVERALL,OVERALL,partial,OVERALL STRATEGY S.A.C.,20503630827,"[('OVERALL STRATEGY S.A.C.', '20503630827')]"
PERU HEALTH,PERU HEALTH,partial,CONSORCIO PERU HEALTH,20607121878,"[('CONSORCIO PERU HEALTH', '20607121878')]"
